City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Nikolskoye,RU,99,1582761324,63,59.7,30.79,28.4,6.71
Bugul'ma,RU,56,1582761324,88,54.55,52.8,17.08,9.42
Dingle,PH,33,1582761324,83,11.0,122.67,76.35,11.92
Neiafu,TO,40,1582761324,79,-18.65,-173.98,84.2,8.05
Sitka,US,90,1582761324,75,57.05,-135.33,42.8,12.75
Yagodnoye,RU,1,1582761325,64,62.55,149.67,-17.52,3.87
Pevek,RU,10,1582761325,92,69.7,170.31,-14.69,9.82
Ixtapa,MX,20,1582761243,73,20.7,-105.2,75.2,11.41
Ambon City,ID,40,1582761325,74,-3.7,128.18,84.2,3.36
College,US,1,1582761325,59,64.86,-147.8,9.0,3.62
Avera,US,90,1582761325,66,33.19,-82.53,57.2,16.11
Lata,PT,40,1582761325,87,40.16,-8.33,48.99,1.12
Hasaki,JP,20,1582761325,61,35.73,140.83,45.0,16.11
Mae Sai,TH,100,1582761325,88,20.43,99.88,66.2,1.74
Dikson,RU,100,1582761326,89,73.51,80.55,14.11,23.69
Hong Kong,HK,40,1582761301,88,22.29,114.16,70.0,18.34
Yellowknife,CA,90,1582761262,77,62.46,-114.35,5.0,4.7
Namatanai,PG,0,1582761326,71,-3.67,152.43,85.17,5.86
Sabang,ID,82,1582761326,77,5.89,95.32,82.71,21.39
Östersund,SE,0,1582761326,72,63.18,14.64,14.0,6.93
George Town,MY,20,1582761059,83,5.41,100.34,78.8,3.36
Gerāsh,IR,0,1582761327,74,27.67,54.14,50.65,6.4
Maceió,BR,84,1582761327,83,-9.67,-35.74,78.8,5.82
Patti,IN,40,1582761327,93,31.28,74.86,60.8,3.53
Mahajanga,MG,40,1582761327,100,-15.72,46.32,75.2,8.77
Praia da Vitória,PT,20,1582761198,72,38.73,-27.07,60.8,13.47
Vardø,NO,75,1582761327,85,70.37,31.11,19.4,4.7
Kavieng,PG,33,1582761327,69,-2.57,150.8,85.91,6.02
Saint George,US,0,1582761049,25,37.1,-113.58,55.4,9.17
Praia,CV,0,1582761328,44,14.92,-23.51,78.8,12.75
Chui,UY,12,1582761328,68,-33.7,-53.46,61.88,7.72
Araçuaí,BR,0,1582761260,90,-16.85,-42.07,73.08,2.89
Kaputa,ZM,44,1582761328,94,-8.47,29.66,64.71,0.78
Lujiang,CN,40,1582761328,86,31.26,117.28,41.0,8.95
Albany,US,90,1582761328,100,42.6,-73.97,43.0,4.7
Constitución,CL,0,1582761328,85,-35.33,-72.42,56.25,6.89
San Quintín,MX,0,1582761329,37,30.48,-115.95,66.56,5.39
Zhigansk,RU,99,1582761329,99,66.77,123.37,-5.89,9.93
Saint-François,FR,86,1582761311,69,46.42,3.91,37.4,3.36
Bandarbeyla,SO,100,1582761329,78,9.49,50.81,76.91,12.5
Port Alfred,ZA,100,1582761329,89,-33.59,26.89,70.0,3.0
Sobolevo,RU,100,1582761329,97,54.43,31.9,34.97,8.55
Ovsyanka,RU,75,1582761329,76,55.96,92.55,-4.0,2.01
Nuuk,GL,0,1582761104,55,64.18,-51.72,8.6,8.05
Igurusi,TZ,99,1582761330,92,-8.85,33.85,55.11,2.35
Miki,JP,75,1582761330,80,34.8,134.98,46.99,14.99
Tak Bai,TH,20,1582761330,88,6.26,102.05,77.0,2.24
Arraial do Cabo,BR,95,1582761136,85,-22.97,-42.03,80.22,4.68
Moree,AU,0,1582761330,65,-29.47,149.85,77.0,3.36
Alamosa,US,75,1582761205,24,37.47,-105.87,37.4,5.82
Fortuna,US,1,1582761330,76,40.6,-124.16,57.99,13.87
Khatanga,RU,96,1582761330,91,71.97,102.5,12.78,16.37
Tiksi,RU,100,1582761331,85,71.69,128.87,-1.86,18.14
Saint-Louis,SN,0,1582761331,16,16.33,-15.0,84.2,2.24
New Norfolk,AU,75,1582761331,51,-42.78,147.06,62.01,17.22
Les Cayes,HT,0,1582761331,79,18.2,-73.75,79.81,11.34
Vuktyl,RU,99,1582761331,96,63.86,57.31,13.37,6.44
Lompoc,US,1,1582761331,16,34.64,-120.46,77.0,11.41
Ambatofinandrahana,MG,20,1582761331,97,-20.55,46.8,57.65,3.6
Hilo,US,40,1582761052,51,19.73,-155.09,80.6,13.87
Río Gallegos,AR,40,1582761225,36,-51.62,-69.22,64.4,29.97
Pochutla,MX,90,1582761332,69,15.74,-96.47,82.4,10.85
Long Beach,US,1,1582761182,8,33.77,-118.19,82.99,3.36
Lebu,CL,0,1582761332,82,-37.62,-73.65,57.33,9.53
Padre Bernardo,BR,100,1582761332,93,-15.35,-48.5,71.78,1.63
Puerto Ayora,EC,20,1582761332,70,-0.74,-90.35,84.2,11.41
Cassilândia,BR,86,1582761332,93,-19.11,-51.73,70.83,3.36
Sharjah city,AE,20,1582761333,68,25.36,55.4,69.8,9.17
Nīlēshwar,IN,20,1582761333,94,12.25,75.1,78.8,3.36
Torbay,CA,90,1582761333,100,47.67,-52.73,30.0,8.05
Ust-Kuyga,RU,100,1582761333,99,70.02,135.6,-3.78,10.6
Panacan,PH,20,1582761333,88,9.25,118.41,75.2,9.17
Saint-Pierre,RE,20,1582761333,83,-21.34,55.48,77.0,4.7
Ponta do Sol,PT,75,1582761333,67,32.67,-17.1,62.6,12.75
Salalah,OM,0,1582761279,73,17.02,54.09,73.4,3.36
Vanavara,RU,92,1582761334,99,60.34,102.28,1.42,0.83
Puerto Escondido,MX,40,1582761334,83,15.85,-97.07,82.4,5.82
Hays,US,1,1582761334,31,30.05,-98.03,52.0,8.05
Thompson,CA,20,1582761190,35,55.74,-97.86,10.4,4.7
Vila Franca do Campo,PT,75,1582761280,67,37.72,-25.43,62.6,8.05
Kuala Terengganu,MY,40,1582761334,88,5.33,103.14,78.8,2.24
Kutum,SD,0,1582761334,23,14.2,24.67,55.24,5.55
Jieshi,CN,99,1582761335,78,22.81,115.83,69.01,1.01
Rochegda,RU,100,1582761335,98,62.8,43.25,13.91,2.51
Aguililla,MX,1,1582761335,61,18.73,-102.73,70.38,5.61
Usinsk,RU,96,1582761335,95,65.99,57.53,13.5,10.36
Cody,US,1,1582761335,58,44.53,-109.06,41.0,14.99
Buala,SB,90,1582761335,70,-8.14,159.59,85.24,3.11
Stornoway,GB,85,1582761335,70,58.21,-6.39,32.0,8.05
Shanghai,CN,40,1582761117,75,31.22,121.46,52.0,6.71
East London,ZA,92,1582761335,78,-33.02,27.91,73.47,18.52
San Ramon,US,1,1582761202,35,37.78,-121.98,78.01,8.05
Antofagasta,CL,20,1582761336,73,-23.65,-70.4,69.8,8.05
Esperance,AU,100,1582761336,77,-33.87,121.9,64.4,8.05
Gamba,GA,100,1582761336,92,-2.65,10.0,77.76,4.63
Burnie,AU,97,1582761336,77,-41.07,145.92,55.99,11.01
Cidreira,BR,17,1582761336,63,-30.18,-50.21,71.11,13.87
Aklavik,CA,40,1582761336,83,68.22,-135.01,-7.6,11.41
Provideniya,RU,58,1582761337,65,64.38,-173.3,6.8,3.71
Jauja,PE,100,1582761337,84,-11.78,-75.5,43.92,8.03
Ferme-Neuve,CA,100,1582761256,95,46.7,-75.45,27.95,10.92
Nizhnevartovsk,RU,100,1582761337,78,60.93,76.55,15.8,20.13
Rawson,AR,100,1582761250,51,-43.3,-65.1,69.15,14.52
Tarragona,ES,65,1582761337,53,41.13,1.25,54.0,6.93
Yasnyy,RU,87,1582761337,89,51.03,59.87,17.94,23.29
High River,CA,20,1582761337,64,50.58,-113.87,41.0,8.05
Viedma,AR,48,1582761338,35,-40.81,-63.0,69.13,5.75
Yar-Sale,RU,100,1582761338,92,66.83,70.83,19.53,21.9
Henties Bay,NA,49,1582761338,91,-22.12,14.28,66.99,3.0
Las Tablas,PA,20,1582761338,78,7.77,-80.28,80.6,6.93
Lüderitz,NA,0,1582761338,88,-26.65,15.16,64.4,9.17
Alyangula,AU,90,1582761338,100,-13.85,136.42,78.8,4.7
Khandyga,RU,0,1582761338,97,62.67,135.6,-11.79,0.29
St. George's,GD,43,1582761338,78,12.06,-61.75,78.8,5.82
Ambilobe,MG,100,1582761339,91,-13.2,49.05,75.88,3.58
Beidao,CN,100,1582761339,89,34.57,105.89,42.35,2.17
Port Elizabeth,ZA,85,1582761339,82,-33.92,25.57,68.65,10.98
Valle Nacional,MX,100,1582761339,92,17.78,-96.32,55.94,7.43
São João da Barra,BR,90,1582761339,94,-21.64,-41.05,78.8,6.93
Ilulissat,GL,58,1582761339,48,69.22,-51.1,-7.6,10.29
Córdoba,AR,0,1582761317,72,-31.41,-64.18,75.0,4.7
Kruisfontein,ZA,77,1582761340,91,-34.0,24.73,64.11,8.32
Marsh Harbour,BS,75,1582761340,84,26.54,-77.06,74.97,20.58
Biloxi,US,1,1582761063,58,30.4,-88.89,55.4,17.22
Ostrovnoy,RU,0,1582761273,92,68.05,39.51,9.14,6.29
Týn nad Vltavou,CZ,78,1582761340,72,49.22,14.42,36.0,9.95
Ribeira Grande,PT,21,1582761340,91,38.52,-28.7,58.69,12.37
Nicoya,CR,20,1582761340,70,10.15,-85.45,77.0,13.87
Hithadhoo,MV,100,1582761340,78,-0.6,73.08,82.76,17.56
Santa Rosalía,MX,0,1582761341,28,27.32,-112.28,60.24,14.72
Belyy Yar,RU,90,1582761341,84,53.6,91.39,3.2,1.34
Aflao,TG,18,1582761341,83,6.12,1.19,82.26,7.0
Awjilah,LY,100,1582761341,24,29.11,21.29,65.23,5.88
Canchungo,GW,0,1582761341,65,12.07,-16.03,77.0,2.24
Leshukonskoye,RU,98,1582761341,96,64.9,45.76,19.13,4.03
Roslyakovo,RU,75,1582761341,85,69.04,33.2,10.4,8.95
Wadi Maliz,TN,40,1582761342,58,36.47,8.55,59.0,5.82
Cabo San Lucas,MX,5,1582761232,44,22.89,-109.91,80.6,4.7
Nha Trang,VN,20,1582761342,83,12.25,109.18,77.0,5.82
Toktogul,KG,100,1582761342,98,41.87,72.94,28.71,0.58
Katobu,ID,97,1582761342,90,-4.94,122.53,80.26,5.26
Balkhash,KZ,100,1582761342,85,46.84,74.98,27.09,18.88
Marzuq,YE,34,1582761342,37,14.4,46.47,60.04,4.14
Jalu,LY,100,1582761342,24,29.03,21.55,65.23,5.88
Ozernovskiy,RU,100,1582761342,87,51.5,156.52,24.69,6.58
Mossamedes,AO,51,1582761343,77,-15.2,12.15,74.32,10.92
Mount Gambier,AU,90,1582761343,71,-37.83,140.77,57.2,14.99
Neuquén,AR,0,1582761091,30,-38.95,-68.06,86.0,4.7
Nabire,ID,75,1582761343,76,-3.37,135.48,83.05,0.81
Soe,ID,100,1582761343,68,-9.86,124.28,81.91,4.97
Sinnamary,GF,97,1582761343,69,5.38,-52.95,78.4,10.92
Ayaviri,PE,95,1582761343,86,-14.89,-70.59,42.85,3.98
Goderich,CA,100,1582761343,70,43.75,-81.72,28.0,4.0
Saint-Augustin,CA,7,1582761344,81,51.23,-58.65,12.24,11.01
Vila Velha,BR,20,1582761125,78,-20.33,-40.29,82.4,14.99
Karratha,AU,100,1582761344,75,-20.74,116.85,83.34,3.78
Rabo de Peixe,PT,75,1582761344,67,37.8,-25.58,62.6,8.05
Saldanha,ZA,6,1582761058,82,-33.01,17.94,60.8,5.82
San Cristobal,VE,40,1582761344,52,7.77,-72.22,87.8,8.05
Iringa,TZ,75,1582761344,93,-7.77,35.7,66.2,2.82
Talnakh,RU,40,1582761344,85,69.49,88.4,15.8,38.03
Pincher Creek,CA,20,1582761345,51,49.48,-113.95,39.2,11.92
Chumikan,RU,21,1582761345,77,54.72,135.31,14.25,8.95
Zabul Province,AF,32,1582761345,60,32.25,67.25,40.77,0.74
Bengkulu,ID,82,1582761345,91,-3.8,102.27,74.53,4.12
Malaryta,BY,83,1582761345,80,51.79,24.07,36.18,11.88
Huron,US,90,1582761345,92,41.15,-82.55,30.99,16.11
Mount Isa,AU,40,1582761345,66,-20.73,139.5,84.2,6.93
Luganville,VU,75,1582761346,70,-15.53,167.17,87.8,9.17
Vestmannaeyjar,IS,100,1582761346,56,63.44,-20.27,35.29,17.83
Arrondissement de Bergerac,FR,90,1582761346,87,44.83,0.5,45.0,6.93
Florence,IT,69,1582761220,93,43.77,11.25,41.0,5.82
Shache,CN,67,1582761346,38,38.42,77.24,40.98,4.16
Senno,RU,89,1582761346,88,59.53,33.92,19.99,3.98
Qaanaaq,GL,100,1582761347,60,77.48,-69.36,-14.51,4.21
Tokur,RU,93,1582761347,93,53.13,132.9,2.68,1.57
Sydney,AU,40,1582761216,60,-33.87,151.21,75.99,5.82
Khammam,IN,0,1582761347,95,17.25,80.15,69.08,3.67
Alice Springs,AU,97,1582761347,22,-23.7,133.88,87.8,13.87
São José da Coroa Grande,BR,100,1582761347,77,-8.9,-35.15,82.81,12.19
Kahului,US,40,1582761347,54,20.89,-156.47,80.6,20.8
Bathurst,AU,58,1582761347,59,-33.42,149.58,73.99,3.0
Donskoye,RU,96,1582761347,44,45.46,41.97,39.2,8.95
Chirongui,YT,75,1582761348,94,-12.93,45.15,80.6,2.24
Bambous Virieux,MU,75,1582761348,88,-20.34,57.76,80.6,6.93
Alamogordo,US,1,1582761344,16,32.9,-105.96,48.0,9.17
Labytnangi,RU,100,1582761348,95,66.66,66.42,19.98,12.86
Rio Verde de Mato Grosso,BR,100,1582761348,97,-18.92,-54.84,72.28,3.87
Salinópolis,BR,100,1582761348,82,-0.61,-47.36,80.71,20.2
Jiaozuo,CN,100,1582761348,68,35.24,113.23,42.04,15.28
Guerrero Negro,MX,0,1582761349,10,27.98,-114.06,77.97,1.52
Nagua,DO,75,1582761349,88,19.38,-69.85,75.2,7.47
Orlik,RU,0,1582761349,91,52.52,99.83,-15.16,3.31
Montceau-les-Mines,FR,59,1582761349,69,46.67,4.37,37.4,3.36
Cayenne,GF,65,1582761349,83,4.93,-52.33,73.4,2.24
Bilma,NE,0,1582761349,19,18.69,12.92,64.33,7.36
Pauini,BR,94,1582761349,92,-7.71,-66.98,76.24,0.22
Kuusamo,FI,90,1582761349,84,65.97,29.18,3.2,1.12
Tura,IN,1,1582761350,94,25.52,90.22,57.06,3.13
Jumla,NP,0,1582761350,51,29.27,82.18,23.54,7.38
Bethel,US,90,1582761350,100,41.37,-73.41,48.0,6.93
Havelock,US,90,1582761308,88,34.88,-76.9,64.99,13.87
Arman',RU,99,1582761350,70,59.7,150.17,6.13,10.63
São Félix do Xingu,BR,100,1582761350,98,-6.64,-51.99,73.83,2.35
Erzin,TR,20,1582761350,100,36.96,36.2,55.99,5.82
San Andrés,CO,20,1582761340,74,12.58,-81.7,82.4,5.82
Ancud,CL,75,1582761351,68,-41.87,-73.82,66.2,12.75
Coquimbo,CL,40,1582761351,87,-29.95,-71.34,60.8,10.29
Along,IN,100,1582761351,96,28.17,94.77,52.7,3.69
Hofn,IS,98,1582761351,67,64.25,-15.21,33.64,32.37
Philadelphia,US,90,1582761146,93,39.95,-75.16,48.99,10.29
Vanimo,PG,99,1582761351,82,-2.67,141.3,81.91,11.52
Kavaratti,IN,100,1582761351,67,10.57,72.64,81.52,4.47
Polson,US,90,1582761352,92,47.69,-114.16,41.0,4.38
Atar,MR,0,1582761352,11,20.52,-13.05,68.88,8.21
Deputatsky,RU,100,1582761352,87,69.3,139.9,1.56,5.35
Margate,GB,70,1582761352,80,51.38,1.39,39.99,9.17
Ābu Road,IN,14,1582761352,37,24.48,72.78,63.66,2.19
Mahébourg,MU,75,1582761352,88,-20.41,57.7,80.6,6.93
Pandan,PH,100,1582761352,80,14.05,124.17,78.82,17.11
Byron Bay,AU,90,1582761353,83,-28.65,153.62,82.99,8.05
Kudahuvadhoo,MV,50,1582761353,81,2.67,72.89,81.68,14.92
Masuguru,TZ,84,1582761353,97,-11.37,38.42,70.79,1.57
Florianópolis,BR,75,1582761165,73,-27.61,-48.5,71.6,18.34
Necochea,AR,73,1582761353,88,-38.55,-58.74,62.01,0.78
Meulaboh,ID,45,1582761353,81,4.14,96.13,82.15,8.14
Camacha,PT,40,1582761353,72,33.08,-16.33,62.6,11.41
Nianzishan,CN,0,1582761354,75,47.52,122.88,8.15,3.36
Bereda,ES,40,1582761354,81,43.27,-7.54,55.0,5.82
Constantine,DZ,40,1582761354,81,36.37,6.61,44.6,5.82
Zhifang,CN,90,1582761354,81,30.35,114.32,50.0,6.71
Teya,RU,88,1582761354,100,60.38,92.63,-2.25,1.68
Hualmay,PE,55,1582761354,77,-11.1,-77.61,73.26,7.67
Clyde River,CA,5,1582761354,74,70.47,-68.59,-23.8,3.36
Rio Novo,BR,75,1582761355,88,-21.46,-43.13,77.0,8.05
Yulara,AU,36,1582761355,23,-25.24,130.99,87.8,18.34
Tuatapere,NZ,48,1582761355,72,-46.13,167.68,63.0,18.01
Cam Ranh,VN,20,1582761355,83,11.92,109.16,77.0,5.82
Tevaitoa,PF,52,1582761355,68,-16.78,-151.5,82.69,4.92
Ségou,ML,0,1582761355,12,13.43,-6.22,76.84,9.71
Katsuura,JP,20,1582761355,52,35.13,140.3,48.99,18.34
Severo-Kuril'sk,RU,100,1582761355,89,50.68,156.12,25.41,4.85
Asău,RO,50,1582761356,75,46.43,26.4,46.99,3.36
Kaeo,NZ,100,1582761356,67,-35.1,173.78,75.0,5.01
Timrå,SE,0,1582761356,78,62.49,17.33,19.99,11.41
Nāmagiripettai,IN,58,1582761356,95,11.47,78.27,66.79,1.59
Øksfjord,NO,75,1582761356,86,70.24,22.35,28.4,14.99
Bonthe,SL,0,1582761356,83,7.53,-12.51,77.85,4.85
Cartagena,CO,20,1582761356,78,10.4,-75.51,82.4,13.87
El Alto,PE,7,1582761356,100,-4.27,-81.21,62.6,13.87
Humboldt,US,1,1582761356,76,40.67,-123.92,57.99,13.87
Tateyama,JP,20,1582761357,52,34.98,139.87,48.99,18.34
Qaqortoq,GL,69,1582761357,79,60.72,-46.03,19.4,6.93
Inhambane,MZ,4,1582761357,70,-23.86,35.38,77.95,7.56
Gwanda,ZW,50,1582761357,76,-20.93,29.0,62.31,6.85
Dera Bugti,PK,84,1582761357,23,29.03,69.15,69.03,6.8
Tungor,RU,66,1582761357,91,53.38,142.96,1.08,5.59
Diego de Almagro,CL,0,1582761357,52,-26.37,-70.05,66.45,3.74
Saint Andrews,US,90,1582761357,76,34.05,-81.13,60.01,9.17
Te Anau,NZ,85,1582761358,80,-45.42,167.72,54.12,14.72
Kaitangata,NZ,90,1582761358,47,-46.28,169.85,72.0,10.78
Husavik,IS,90,1582761358,68,66.04,-17.34,24.8,25.28
Zeerust,ZA,19,1582761358,63,-25.54,26.08,66.2,3.36
Amga,RU,94,1582761358,98,60.9,131.96,-5.22,0.22
Dongsheng,CN,96,1582761358,92,39.82,109.98,34.86,2.21
Paka,MY,53,1582761358,87,4.64,103.44,76.89,7.29
Richards Bay,ZA,0,1582761358,81,-28.78,32.04,74.53,22.41
Maturin,VE,95,1582761358,74,9.75,-63.18,76.37,9.37
Oranjestad,AW,40,1582761160,74,12.52,-70.03,82.4,20.8
Yamoussoukro,CI,0,1582761359,66,6.82,-5.28,84.2,9.17
Atambua,ID,100,1582761359,80,-9.11,124.89,81.36,3.22
Yabrūd,SY,0,1582761359,93,33.97,36.66,41.0,9.17
Peleduy,RU,100,1582761359,99,59.63,112.74,0.43,1.57
Khasan,RU,0,1582761359,55,42.43,130.64,25.95,8.7
Conselheiro Lafaiete,BR,75,1582761359,88,-20.66,-43.79,71.6,8.05
São Filipe,CV,0,1582761359,50,14.9,-24.5,76.77,2.06
Caravelas,BR,40,1582761360,81,-17.71,-39.25,80.92,16.46
Huinan,CN,0,1582761360,78,42.62,126.26,15.76,1.01
Altus,US,1,1582761360,28,34.64,-99.33,46.4,16.11
Gravdal,NO,85,1582761360,57,68.12,13.5,37.45,26.96
Liverpool,GB,89,1582761123,80,53.41,-2.98,39.99,11.41
Namie,JP,75,1582761360,90,37.48,141.0,43.0,9.17
Fairbanks,US,1,1582761203,59,64.84,-147.72,9.0,0.31
Pangnirtung,CA,5,1582761360,66,66.15,-65.71,-29.2,2.13
Edd,ER,3,1582761361,75,13.93,41.69,72.34,1.45
Muros,ES,90,1582761361,100,42.78,-9.06,59.0,8.05
Lázaro Cárdenas,MX,0,1582761361,61,17.96,-102.2,77.65,5.21
Ormara,PK,92,1582761361,76,25.21,64.64,73.26,9.35
Waddān,LY,87,1582761361,24,29.16,16.14,64.83,5.64
Azángaro,PE,75,1582761361,58,-14.92,-70.22,55.4,5.82
Polyarny,RU,75,1582761361,85,69.2,33.45,10.4,8.95
Garoowe,SO,90,1582761361,75,8.41,48.48,66.24,6.13
Iqaluit,CA,5,1582761362,61,63.75,-68.51,-23.8,9.17
Farafenni,GM,17,1582761362,15,13.57,-15.6,83.75,5.88
Beloha,MG,0,1582761362,70,-25.17,45.05,69.3,14.0
Shimoda,JP,75,1582761362,78,34.67,138.95,46.4,18.34
Impfondo,CG,96,1582761362,83,1.64,18.07,75.0,2.26
Cherskiy,RU,84,1582761362,84,68.75,161.3,-12.35,15.88
Pangody,RU,100,1582761363,88,65.85,74.49,17.31,24.11
Dunedin,NZ,98,1582761363,47,-45.87,170.5,72.0,13.42
Beringovskiy,RU,100,1582761363,91,63.05,179.32,1.29,10.54
Vestmanna,FO,97,1582761363,86,62.16,-7.17,33.8,5.82
Acarigua,VE,57,1582761363,38,9.55,-69.2,87.8,11.41
Kumëny,RU,67,1582761363,95,58.11,49.92,20.16,14.52
